station-num,station-region,typhoon,date,wind-avg-speed,wind-avg-strength,wind-moment-speed,wind-moment-strength,daily-rain,type
1,基隆,寶發,2006/8/9,9,5,15,7,6.1,4
1,基隆,寶發,2006/8/8,7.2,4,12.3,6,7.5,4
1,基隆,凱米,2006/7/26,5,3,12.5,6,9.1,4
1,基隆,凱米,2006/7/25,10.7,5,24,9,8.7,4
1,基隆,凱米,2006/7/24,7.6,4,18.8,8,9,4
1,基隆,碧利斯,2006/7/15,5,3,10.2,5,3.5,4
1,基隆,碧利斯,2006/7/14,7.7,4,13.6,6,6,4
1,基隆,碧利斯,2006/7/13,15.5,7,28.4,10,35,1
1,基隆,艾維尼,2006/7/9,6.3,4,11.3,6,1,4
1,基隆,艾維尼,2006/7/8,6.7,4,15.8,7,0.4,4
1,基隆,珍珠,2006/5/18,8.2,5,15.8,7,0,4
1,基隆,珍珠,2006/5/17,5.7,4,11.7,6,59.4,4
2,臺北,天鵝,2015/8/23,5.8,4,11.2,6,23,4
2,臺北,天鵝,2015/8/22,7.1,4,15.1,7,4,4
2,臺北,天鵝,2015/8/21,6.3,4,12.9,6,1.9,4
2,臺北,蘇迪勒,2015/8/9,6.9,4,13.2,6,4,4
2,臺北,蘇迪勒,2015/8/8,15.9,7,39.2,13,306.7,3
2,臺北,蘇迪勒,2015/8/7,9.6,5,25.5,10,16.2,3
2,臺北,昌鴻,2015/7/11,7.8,4,17.6,8,0,4
2,臺北,昌鴻,2015/7/10,7,4,19,8,91,2
2,臺北,蓮花,2015/7/9,6.7,4,12.7,6,22.2,4
2,臺北,蓮花,2015/7/8,7.7,4,17.2,8,0,4
2,臺北,蓮花,2015/7/7,5.7,4,13.1,6,0,4
2,臺北,紅霞,2015/5/11,3.3,2,8.8,5,0.9,4
2,臺北,鳳凰,2014/9/22,5.4,3,11.9,6,97.5,4
2,臺北,鳳凰,2014/9/21,9.3,5,18.6,8,67.5,2
2,臺北,鳳凰,2014/9/20,7,4,12.9,6,0,4
2,臺北,麥德姆,2014/7/23,11.3,6,26.5,10,45.5,3
2,臺北,麥德姆,2014/7/22,7.9,4,20.2,8,29.5,4
2,臺北,哈吉貝,2014/6/15,2.3,2,5.6,4,3.5,4
2,臺北,菲特,2013/10/7,4.3,3,8.2,5,0,4
2,臺北,菲特,2013/10/6,8.6,5,21.2,9,51.5,4
2,臺北,菲特,2013/10/5,5.1,3,11.2,6,28,4
2,臺北,天兔,2013/9/22,8.2,5,19.1,8,14.7,4
2,臺北,天兔,2013/9/21,9.2,5,20.9,9,43.5,4
2,臺北,天兔,2013/9/20,7.2,4,15.6,7,26.5,4
2,臺北,康芮,2013/8/29,6.3,4,15.2,7,64.5,4
2,臺北,康芮,2013/8/28,6.4,4,12.4,6,0,4
2,臺北,潭美,2013/8/22,4.7,3,9.1,5,39,4
2,臺北,潭美,2013/8/21,6.9,4,14.7,7,219.5,2
2,臺北,西馬隆,2013/7/18,8,5,14.9,7,0,4
2,臺北,蘇力,2013/7/13,14.7,7,33.8,12,63.5,3
2,臺北,蘇力,2013/7/12,8.6,5,23.5,9,27,2
2,臺北,杰拉華,2012/9/28,6.6,4,16.6,7,4,4
2,臺北,天秤,2012/8/28,5.6,4,11.5,6,7.3,4
2,臺北,天秤,2012/8/27,4.5,3,8.4,5,9.5,4
2,臺北,天秤,2012/8/25,7.1,4,14.7,7,0,4
2,臺北,天秤,2012/8/24,9.4,5,19.8,8,1,4
2,臺北,天秤,2012/8/23,7.1,4,15.1,7,12.5,4
2,臺北,天秤,2012/8/22,5.6,4,10.5,5,18.2,4
2,臺北,啟德,2012/8/15,6.9,4,13.7,6,0,4
2,臺北,海葵,2012/8/7,7,4,14.9,7,0.5,4
2,臺北,蘇拉,2012/8/3,6.5,4,13.5,6,11.5,4
2,臺北,蘇拉,2012/8/2,7.6,4,21.9,9,158,2
2,臺北,蘇拉,2012/8/1,7.8,4,22.2,9,89,2
2,臺北,蘇拉,2012/7/31,7.1,4,18.5,8,44,4
2,臺北,杜蘇芮,2012/6/29,10.3,5,20.6,8,0,4
2,臺北,泰利,2012/6/21,3.4,3,6.1,4,10.5,4
2,臺北,泰利,2012/6/20,6.1,4,12.3,6,15,2
2,臺北,南瑪都,2011/8/31,4.9,3,9.9,5,0,4
2,臺北,南瑪都,2011/8/30,6.1,4,12.8,6,5.5,4
2,臺北,南瑪都,2011/8/29,10.2,5,21.4,9,6.5,2
2,臺北,南瑪都,2011/8/28,8.6,5,18.3,8,28,4
2,臺北,梅花,2011/8/6,6,4,12.9,6,1.5,4
2,臺北,梅花,2011/8/5,5.4,3,12.9,6,14,4
2,臺北,米雷,2011/6/25,8.1,5,18.3,8,106.4,4
2,臺北,米雷,2011/6/24,8.2,5,15.4,7,11,4
2,臺北,桑達,2011/5/28,7.2,4,14.7,7,5.5,4
2,臺北,艾利,2011/5/10,4.9,3,9.4,5,0,4
2,臺北,梅姬,2010/10/23,7.1,4,13.4,6,0,4
2,臺北,梅姬,2010/10/22,8,5,14.5,7,31,4
2,臺北,凡那比,2010/9/20,10.1,5,21.9,9,1,4
2,臺北,凡那比,2010/9/19,11.4,6,27.9,10,64.6,3
2,臺北,凡那比,2010/9/18,4.8,3,11,6,7.7,4
2,臺北,莫蘭蒂,2010/9/10,5.1,3,9.2,5,0.5,4
2,臺北,萊羅克,2010/9/2,6.2,4,11.8,6,0,4
2,臺北,萊羅克,2010/9/1,6.8,4,14.6,7,0,4
2,臺北,南修,2010/8/31,6.2,4,12,6,47,4
2,臺北,芭瑪,2009/10/6,6.2,4,15.1,7,5.5,4
2,臺北,芭瑪,2009/10/5,9.7,5,20.9,9,97.5,4
2,臺北,芭瑪,2009/10/4,7.8,4,19.2,8,9.2,4
2,臺北,莫拉克,2009/8/10,3.4,3,6.7,4,2.5,4
2,臺北,莫拉克,2009/8/9,5,3,11.2,6,29,4
2,臺北,莫拉克,2009/8/8,8.8,5,21.6,9,10.5,2
2,臺北,莫拉克,2009/8/7,12.2,6,26.5,10,49.5,3
2,臺北,莫拉克,2009/8/6,6.4,4,18,8,66,4
2,臺北,莫拉菲,2009/7/18,9.5,5,19.4,8,0.1,4
2,臺北,蓮花,2009/6/22,7.1,4,15.4,7,0,4
2,臺北,蓮花,2009/6/21,3.9,3,6.5,4,0.1,4
2,臺北,薔密,2008/9/29,7.7,4,16.3,7,39.6,2
2,臺北,薔密,2008/9/28,14.5,7,37,13,160.1,3
